Run,Surface,Tile,Tile_38,Average_A,Stdv_A,Average_0,Stdv_0,Average_2,Stdv_2,Average_3,Stdv_3,Average_4,Stdv_4,Average_5,Stdv_5,Average_1,Stdv_1
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,2,2,60,43.0219582177391,0,0.0,93,2.006163342807532,93,1.871011991157791,92,2.288380735483618,95,0.5382600272627028,93,1.6932043630611056
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,3,3,60,43.0219582177391,0,0.0,92,1.9716787635860984,93,1.7916128329552332,92,2.2373907034229212,95,0.5499084248221312,93,1.706921277304135
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,4,4,60,42.62237284181474,0,0.0,92,2.3471080767044232,93,2.0594724110307916,91,2.849530221844839,95,0.5246309789760831,93,1.9737648288109966
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,5,5,60,43.0219582177391,0,0.0,93,1.7646117406772734,93,1.617802197617893,92,2.2731387470441855,95,0.5580798744086809,94,1.6777409856157222
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,6,6,59,42.42902570437156,0,0.0,92,2.2467779093486078,93,2.041409448817877,91,2.6009215481071863,95,0.48237378930870783,93,2.2166597048066667
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,7,7,60,42.62237284181474,0,0.0,93,1.9422386077225027,93,1.7877805016514325,92,2.3524505666727733,95,0.4602831415485944,93,1.8863454189995323
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,8,8,60,42.62237284181474,0,0.0,92,2.2992812140990746,93,1.9654072831735703,91,2.840951586556829,95,0.5246309789760831,93,2.077378320352616
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,9,9,60,42.62237284181474,9,28.747978728803446,92,2.419060117453027,93,2.1107861998185196,91,2.739422908172903,95,0.554009215586874,93,2.097094469169195
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,10,10,60,43.0219582177391,0,0.0,93,1.866607876793208,93,1.6834545447945943,92,2.1111846417866857,95,0.5340383148089843,94,1.699673171197595
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,11,11,60,42.62237284181474,0,0.0,92,1.9626135258506328,93,1.9316155274674516,92,2.2535310885061928,95,0.5229023713806172,93,1.7284832429004493
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,12,12,60,43.0219582177391,9,28.747978728803446,93,1.930905244109196,93,2.041409448817877,92,2.341104275928185,95,0.6224995250352251,93,1.7969643660308448
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,13,13,60,43.0219582177391,9,28.747978728803446,93,2.018433569398328,93,1.9862352115247293,92,2.0928873631404294,95,0.5709109729786696,93,1.6563466499998443
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,14,14,61,43.22807729551092,0,0.0,93,1.688336491857997,93,1.916644301175646,92,2.133488961285948,95,0.5229023713806172,94,1.8921540406584887
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,15,15,60,43.0219582177391,0,0.0,92,2.096440251568134,93,1.9695904889345677,92,2.3749805355789126,95,0.5382600272627028,93,1.9883060046621555
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,16,16,60,43.0219582177391,0,0.0,93,1.9528039002168986,93,1.9485846574764305,92,2.152472089174342,95,0.6333138751547753,93,1.857768326516215
